"Name","Number","Setname","Price","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Icy Sky's Shaymin","001","11th Movie Commemoration Set","13.99","0.60",0,0,0,0,0,0,0,0,"0.49","1.18"
"Pikachu","003","11th Movie Commemoration Set","10.50","0.60",0,0,0,0,0,0,0,0,"1.13","3.69"
﻿"Name","Number","Setname","Price","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Mew","030","25th Anniversary Collection","98.00","0.60",0,0,0,0,0,0,0,0,"0.42","1.17"
"Pikachu V-Union","028","25th Anniversary Collection","14.09","0.60",0,0,0,0,0,0,0,0,"0.42","1.35"
﻿"Name","Number","Setname","Price","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Pikachu V","001","25th Anniversary Golden Box","76.00","0.60",0,0,0,0,0,0,0,0,"0.98","3.98"
"Pikachu VMAX","006","25th Anniversary Golden Box","10.21","0.60",0,0,0,0,0,0,0,0,"0.59","1.49"
﻿"Name","Number","Setname","Price","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Chansey ex","036","ADV Expansion Pack","23.37","0.60",0,0,0,0,0,0,0,0,"0.89","1.75"
"Electabuzz ex","023","ADV Expansion Pack","11.00","0.60",0,0,0,0,0,0,0,0,"1.96","5.18"
"Hitmonchan ex","030","ADV Expansion Pack","12.03","0.60",0,0,0,0,0,0,0,0,"2.76","3.81"
"Manectric","025","ADV Expansion Pack","12.50","0.60",0,0,0,0,0,0,0,0,"0.52","1.18"
"Mewtwo ex","026","ADV Expansion Pack","31.71","0.60",0,0,0,0,0,0,0,0,"2.36","6.24"
"Sneasel ex","046","ADV Expansion Pack","16.26","0.60",0,0,0,0,0,0,0,0,"1.06","2.70"
﻿"Name","Number","Setname","Price","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Absol","035","ADV-P Promos","33.69","0.60",0,0,0,0,0,0,0,0,"2.07","7.60"
"Butler's Kirlia","039","ADV-P Promos","122.45","0.60",0,0,0,0,0,0,0,0,"0.52",0
"Charizard","054","ADV-P Promos","22.89","0.60",0,0,0,0,0,0,0,0,"0.91","12.01"
"Charmander","052","ADV-P Promos","12.79","0.60",0,0,0,0,0,0,0,0,"0.18","8.39"
"Charmeleon","053","ADV-P Promos","15.19","0.60",0,0,0,0,0,0,0,0,"0.71","1.79"
"Groudon","027","ADV-P Promos","19.33","0.60",0,0,0,0,0,0,0,0,"1.38","6.93"
"Groudon ex","012","ADV-P Promos","14.00","0.60",0,0,0,0,0,0,0,0,"1.68","9.68"
"Jirachi","025","ADV-P Promos","17.62","0.60",0,0,0,0,0,0,0,0,"1.47","14.44"
"Meowth","062","ADV-P Promos","21.85","0.60",0,0,0,0,0,0,0,0,"0.39",0
"Minun","050","ADV-P Promos","20.70","0.60",0,0,0,0,0,0,0,0,"3.06",0
"Mudkip","020","ADV-P Promos","12.94","0.60",0,0,0,0,0,0,0,0,"1.53","4.26"
"Oran Berry","043","ADV-P Promos","110.53","0.60",0,0,0,0,0,0,0,0,"0.60",0
"Pikachu","057","ADV-P Promos","23.90","0.60",0,0,0,0,0,0,0,0,"2.22","1.30"
"Pikachu","023","ADV-P Promos","30.50","0.60",0,0,0,0,0,0,0,0,"1.00","0.84"
"Pikachu","024","ADV-P Promos","36.10","0.60",0,0,0,0,0,0,0,0,"1.88","8.47"
"Torchic","018","ADV-P Promos","16.75","0.60",0,0,0,0,0,0,0,0,"3.70","2.70"
"Treecko","016","ADV-P Promos","27.00","0.60",0,0,0,0,0,0,0,0,"1.21","2.97"
﻿"Name","Number","Setname","Price","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Arceus","060","Advent of Arceus","12.35","0.60",0,0,0,0,0,0,0,0,"1.57","7.80"
"Arceus","065","Advent of Arceus","13.12","0.60",0,0,0,0,0,0,0,0,"3.41","1.49"
"Arceus","029","Advent of Arceus","14.19","0.60",0,0,0,0,0,0,0,0,"0.66","7.37"
"Arceus","076","Advent of Arceus","16.20","0.60",0,0,0,0,0,0,0,0,"0.90","4.59"
"Arceus LV.X","077","Advent of Arceus","10.79","0.60",0,0,0,0,0,0,0,0,"1.47","4.08"
"Bagon","069","Advent of Arceus","11.94","0.60",0,0,0,0,0,0,0,0,"1.38","6.41"
"Charizard","017","Advent of Arceus","22.83","0.60",0,0,0,0,0,0,0,0,"2.01","6.10"
