"Name","Number","Setname","Price","ReleaseDate","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Dialga","008","11th Movie Commemoration Set","6.40","Fri, 01 Aug 2008 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.22","2.41"
"Icy Sky's Shaymin","001","11th Movie Commemoration Set","13.99","Fri, 01 Aug 2008 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.49","1.18"
"Pikachu","003","11th Movie Commemoration Set","10.50","Fri, 01 Aug 2008 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.13","3.69"
"Piplup","002","11th Movie Commemoration Set","9.65","Fri, 01 Aug 2008 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.94","1.91"
"Reverse World's Giratina","005","11th Movie Commemoration Set","6.05","Fri, 01 Aug 2008 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"2.51","3.69"
"Shieldon","007","11th Movie Commemoration Set","7.43","Fri, 01 Aug 2008 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.72","1.58"
﻿"Name","Number","Setname","Price","ReleaseDate","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Mew","030","25th Anniversary Collection","98.00","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.42","1.17"
"Mew Reverse","002","25th Anniversary Collection","7.14","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.39","2.03"
"Pikachu Reverse","001","25th Anniversary Collection","8.00","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.93","1.60"
"Pikachu V-Union","027","25th Anniversary Collection","6.29","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.49","3.17"
"Pikachu V-Union","028","25th Anniversary Collection","14.09","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.42","1.35"
"Pikachu V-UNION","025","25th Anniversary Collection","6.00","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.41","1.04"
﻿"Name","Number","Setname","Price","ReleaseDate","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Pikachu V","001","25th Anniversary Golden Box","76.00","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.98","3.98"
"Pikachu VMAX","006","25th Anniversary Golden Box","10.21","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.59","1.49"
"Poke Ball","002","25th Anniversary Golden Box","8.00","Fri, 22 Oct 2021 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.82","2.81"
﻿"Name","Number","Setname","Price","ReleaseDate","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Beautifly","006","ADV Expansion Pack","5.15","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.59","1.85"
"Chansey ex","036","ADV Expansion Pack","23.37","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.89","1.75"
"Dustox","008","ADV Expansion Pack","5.84","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.10","1.58"
"Electabuzz ex","023","ADV Expansion Pack","11.00","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.96","5.18"
"Hitmonchan ex","030","ADV Expansion Pack","12.03","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"2.76","3.81"
"Manectric","025","ADV Expansion Pack","12.50","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.52","1.18"
"Mewtwo ex","026","ADV Expansion Pack","31.71","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"2.36","6.24"
"Sneasel ex","046","ADV Expansion Pack","16.26","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.06","2.70"
"Swampert","016","ADV Expansion Pack","5.58","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.28","6.64"
"Wailord","022","ADV Expansion Pack","6.50","Fri, 31 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.76","2.21"
﻿"Name","Number","Setname","Price","ReleaseDate","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA4Ratio","PSA5Ratio","PSA6Ratio","PSA7Ratio","PSA8Ratio","PSA9Ratio","PSA10Ratio"
"Absol","035","ADV-P Promos","33.69","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"2.07","7.60"
"Absol","034","ADV-P Promos","9.23","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"2.01",0
"Ash's Treecko","036","ADV-P Promos","6.04","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"2.65",0
"Bulbasaur","051","ADV-P Promos","8.50","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.96","1.14"
"Butler's Kirlia","039","ADV-P Promos","122.45","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.52",0
"Charizard","054","ADV-P Promos","22.89","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.91","12.01"
"Charmander","052","ADV-P Promos","12.79","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.18","8.39"
"Charmeleon","053","ADV-P Promos","15.19","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.71","1.79"
"Flygon","032","ADV-P Promos","9.75","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.77","1.53"
"Groudon","027","ADV-P Promos","19.33","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.38","6.93"
"Groudon","026","ADV-P Promos","6.99","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.85","2.08"
"Groudon ex","012","ADV-P Promos","14.00","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.68","9.68"
"Groudon ex","002","ADV-P Promos","8.60","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.52","5.29"
"Jirachi","025","ADV-P Promos","17.62","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.47","14.44"
"Latias","006","ADV-P Promos","7.00","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"2.92","4.68"
"Ludicolo","022","ADV-P Promos","8.14","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.07","1.43"
"Meowth","062","ADV-P Promos","21.85","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.39",0
"Minun","050","ADV-P Promos","20.70","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"3.06",0
"Mudkip","020","ADV-P Promos","12.94","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.53","4.26"
"Oran Berry","043","ADV-P Promos","110.53","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.60",0
"Pikachu","057","ADV-P Promos","23.90","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"2.22","1.30"
"Pikachu","023","ADV-P Promos","30.50","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.00","0.84"
"Pikachu","024","ADV-P Promos","36.10","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"1.88","8.47"
"Swampert","048","ADV-P Promos","8.00","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.89","4.74"
"Torchic","017","ADV-P Promos","5.37","Wed, 01 Jan 2003 00:00:00 GMT","0.60",0,0,0,0,0,0,0,0,"0.38","26.82"
