"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell","Language"
"Dialga","008","11th Movie Commemoration Set","6.36","-17.00","-2.67",-17,"-2.67",7.26,"1.14",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4.49","28.54","7.70","48.99","JAPANESE"
"Icy Sky's Shaymin","001","11th Movie Commemoration Set","13.99","-17.00","-1.22",-17,"-1.22",-4.02,"-0.29",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.09","15.27","3.21","44.95","JAPANESE"
"Pikachu","003","11th Movie Commemoration Set","22.00","-17.00","-0.77",-17,"-0.77",9.35,"0.42",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.41","31.00","4.61","101.50","JAPANESE"
"Piplup","002","11th Movie Commemoration Set","9.65","-17.00","-1.76",-17,"-1.76",4.39,"0.45",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.61","25.16","5.28","51.00","JAPANESE"
"Reverse World's Giratina","005","11th Movie Commemoration Set","6.05","-17.00","-2.81",-17,"-2.81",32.24,"5.33",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9.58","57.93","14.05","85.00","JAPANESE"
"Shieldon","007","11th Movie Commemoration Set","7.43","-17.00","-2.29",-17,"-2.29",-2.13,"-0.29",2008,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2.36","17.50","5.38","40.00","JAPANESE"
﻿"Name","Number","SetName","AvgPrice","LPBuyPrice","LPRatio","NMBuyPrice","NMRatio","MBuyPrice","MRatio","YearReleased","PokeRatio","PSA1Ratio","PSA2Ratio","PSA3Ratio","PSA3AvgSell","PSA4Ratio","PSA4AvgSell","PSA5Ratio","PSA5AvgSell","PSA6Ratio","PSA6AvgSell","PSA7Ratio","PSA7AvgSell","PSA8Ratio","PSA8AvgSell","PSA9Ratio","PSA9AvgSell","PSA10Ratio","PSA10AvgSell","Language"
"Ho-Oh Reverse","004","25th Anniversary Collection","6.50","-17.00","-2.62",-17,"-2.62",1.41,"0.22",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.45","22.41","3.33","21.66","JAPANESE"
"Mew","030","25th Anniversary Collection","98.00","-17.00","-0.17",-17,"-0.17",34,"0.35",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.61","60.00","1.13","110.25","JAPANESE"
"Mew Reverse","002","25th Anniversary Collection","7.14","-17.00","-2.38",-17,"-2.38",-8.93,"-1.25",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.33","9.50","3.50","25.00","JAPANESE"
"Pikachu V-Union","027","25th Anniversary Collection","6.29","-17.00","-2.70",-17,"-2.70",-7.22,"-1.15",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.83","11.50","11.75","73.93","JAPANESE"
"Pikachu V-Union","028","25th Anniversary Collection","13.99","-17.00","-1.22",-17,"-1.22",-5.95,"-0.43",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.93","13.00","3.39","47.45","JAPANESE"
"Pikachu V-UNION","025","25th Anniversary Collection","6.00","-17.00","-2.83",-17,"-2.83",-8.93,"-1.49",2021,"0.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.58","9.50","3.42","20.50","JAPANESE"
